text,emotion
I am so happy today,joy
This is the worst day ever,sadness
I feel so angry right now,anger
I am excited for my trip,joy
I feel depressed and lonely,sadness
Why is everything so frustrating,anger
Life is beautiful and amazing,joy
I am tired of everything,sadness
This makes me so mad,anger
I feel great and joyful,joy
I am scared of what happens next,fear
Everything feels so overwhelming,fear
I love spending time with friends,joy
I hate Mondays so much,anger
Feeling nervous about my interview,fear
So grateful for everything I have,joy
